PARTIDO;COMUNA;RANGO_EDAD;SEXO;CATEGORIA
UNION DEMOCRATA INDEPENDIENTE;Natales;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;80 o +;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;65-69;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;70-74;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Porvenir;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Porvenir;65-69;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Porvenir;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;70-74;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Rio Verde;40-44;Femenino;Ratificado
UNION DEMOCRATA INDEPENDIENTE;Primavera;60-64;Femenino;Ratificado
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;65-69;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;80 o +;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;75-79;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;75-79;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;75-79;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;70-74;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Torres Del Paine;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;70-74;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Primavera;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Rio Verde;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;75-79;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;18 a 19;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;San Gregorio;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;18 a 19;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;65-69;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;75-79;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;18 a 19;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;65-69;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;65-69;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;65-69;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Primavera;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;70-74;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;70-74;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Rio Verde;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Rio Verde;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;65-69;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;80 o +;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;65-69;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;70-74;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;75-79;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;18 a 19;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;18 a 19;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;60-64;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;60-64;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;45-49;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;70-74;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;18 a 19;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Timaukel;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;18 a 19;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;40-44;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;30-34;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;35-39;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;50-54;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;65-69;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Natales;75-79;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;20-24;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;55-59;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;75-79;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;18 a 19;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;50-54;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Laguna Blanca;40-44;Femenino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Masculino;Nuevo
UNION DEMOCRATA INDEPENDIENTE;Punta Arenas;25-29;Femenino;Nuevo
